# PRDCT-11935 at10-23 — per-artifact evidence currency against the shipped head
# FILE LAST WRITTEN 2026-08-23T20:23:13Z  ·  this stamp is the file's own last-write time; the capture times stated below belong to the
#   measurements themselves, which is why the two can differ when a later round corrected a number.
# onyx head 2b60fdc4df25188104e737e6311087681355eff8 · captured 2026-08-23T20:23:12Z
#
# The round-39 gate found the PR body claiming 'every artifact in this bundle is stamped
# 16b7bca77c' while the head was 2b60fdc4 and the run's own provenance file marked every at1..at9
# artifact '6 … 25 lane-touching commit(s) landed after it'. Both halves of that were true and
# together they were a false claim. This file is the per-artifact answer: what was re-driven on the
# shipped head this round, and for anything not re-driven, the MEASURED reason it still holds.

=== SUMMARY ===
    at1..at9 artifacts in the bundle              : 177
    RE-DRIVEN or REGENERATED this round (>=18:45Z) : 45
    not re-driven, lane code moved under it        : 73
    not re-driven, lane code did NOT move          : 0
    not re-driven, no parseable sha in the header  : 59

=== RE-DRIVEN OR REGENERATED THIS ROUND ===
    artifact                                       stamped     written
    at1-01-lab-resources.txt                       2b60fdc4df  08-23 20:22
    at1-02-scanner-post.txt                        2b60fdc4df  08-23 20:22
    at1-03-eventgrid-message.json                  2b60fdc4df  08-23 20:12
    at1-04-consumer-logs.txt                       2b60fdc4df  08-23 20:22
    at1-05-db-readback.txt                         2b60fdc4df  08-23 20:23
    at1-06-flagoff-guard.txt                       2b60fdc4df  08-23 20:22
    at1-07-cutover-guard.txt                       2b60fdc4df  08-23 20:22
    at1-08-cfg-diff.py                             —           08-23 20:21
    at1-08-config-provenance.txt                   2b60fdc4df  08-23 20:22
    at1-08-derive-sink.py                          —           08-23 20:21
    at1-08-live-sink-readback.yaml                 —           08-23 20:21
    at1-08-rediff-output.txt                       —           08-23 20:22
    at1-08-rediff.py                               —           08-23 20:21
    at1-08-rendered-sink.yaml                      —           08-23 20:21
    at10-01-pr-body.md                             —           08-23 19:47
    at10-04-evidence-provenance.txt                2b60fdc4df  08-23 19:47
    at10-05-owner-ruling-c3.txt                    2b60fdc4df  08-23 19:03
    at10-06-tracker-fetch.txt                      2b60fdc4df  08-23 18:51
    at10-07-r46-body-and-adr.txt                   2b60fdc4df  08-23 19:04
    at10-21-head-move-provenance.txt               —           08-23 19:48
    at10-23-evidence-currency.txt                  —           08-23 20:23
    at10-24-sibling-pr-12382.txt                   2b60fdc4df  08-23 19:50
    at4-01-postfix-refusal-azure-s3.txt            2b60fdc4df  08-23 19:46
    at4-02-postfix-refusal-aws-asb.txt             2b60fdc4df  08-23 19:46
    at4-03-postfix-correct-boot.txt                2b60fdc4df  08-23 19:36
    at5-01-scanner-postfix.txt                     2b60fdc4df  08-23 19:39
    at5-02-mcpgw-postfix.txt                       2b60fdc4df  08-23 19:39
    at6-04b-diff-matched.txt                       2b60fdc4df  08-23 19:22
    at6-04c-diff-reingest-skip.txt                 2b60fdc4df  08-23 19:22
    at6-05-per-class.txt                           2b60fdc4df  08-23 19:34
    at6-06-ledger.txt                              2b60fdc4df  08-23 19:49
    at6-07-transport-equivalence.txt               2b60fdc4df  08-23 19:22
    at7-50-amendment-r30-reaffirm.txt              2b60fdc4df  08-23 19:34
    at8-01-render-saas.txt                         2b60fdc4df  08-23 19:01
    at8-02-render-centerpoint.txt                  2b60fdc4df  08-23 19:01
    at8-05-parity-check.txt                        a4493c1e5a  08-23 19:01
    at8-06-keda-live.txt                           2b60fdc4df  08-23 19:48
    at9-01-tf-validate.txt                         2b60fdc4df  08-23 19:46
    at9-02-sqlrule-positive.txt                    2b60fdc4df  08-23 19:46
    at9-03-sqlrule-negative.txt                    2b60fdc4df  08-23 19:46
    at9-04-delivery-property.json                  2b60fdc4df  08-23 19:48
    at9-05-roles.txt                               2b60fdc4df  08-23 19:46
    at9-06-flux-config.txt                         2b60fdc4df  08-23 19:46
    at9-07-key-match.txt                           2b60fdc4df  08-23 19:46
    at9-08-credential-footprint.txt                2b60fdc4df  08-23 19:46

=== NOT RE-DRIVEN, AND LANE CODE MOVED UNDER IT — each needs its own reason ===
    artifact                                       stamped     lane files moved
    at1-09-flag-verification.txt                   0665ecc545  18
    at1-10-competing-consumer.txt                  cdcd725ebb  23
    at1-11-cutover-flip-sequence-r36.txt           a2486bb33f  18
    at1-11-merged-head-creates.txt                 f4b3e9dfb2  18
    at10-06-evidence-audit.txt                     a2486bb33f  18
    at10-07-merge-impact.txt                       dfe23b9e83  29
    at10-07-stale-cite-refresh.txt                 a2486bb33f  18
    at10-08-commit-shape.txt                       3979910bde  23
    at10-08-render-check.txt                       a2486bb33f  18
    at10-09-ci-failures.txt                        257f4c7b3c  23
    at10-10-lifecycle-embed-check.txt              cdcd725ebb  23
    at10-11-c3-audit-extension-r35.txt             a2486bb33f  18
    at10-12-placement-receipt.txt                  a2486bb33f  18
    at10-13-defaults-inventory.txt                 a2486bb33f  18
    at10-14-sibling-sweep.txt                      a2486bb33f  18
    at10-15-side-pr-disposition.txt                a2486bb33f  18
    at10-16-round40-residues.txt                   a2486bb33f  18
    at10-17-infra-review-round41.txt               a2486bb33f  18
    at10-18-round42-gaps.txt                       a2486bb33f  18
    at10-19-round43-gaps.txt                       a2486bb33f  18
    at11-01-azure-alert-path.txt                   a2486bb33f  18
    at12-01-downstream-start-failure.txt           a2486bb33f  18
    at2-01-before.txt                              a2486bb33f  18
    at2-02-after.txt                               a2486bb33f  18
    at2-03-redelivery.txt                          a2486bb33f  18
    at2-04-dedup-keys.txt                          a2486bb33f  18
    at2-05-isolated-replay.txt                     a2486bb33f  18
    at2-06-dedup-constraint-names.txt              a2486bb33f  18
    at3-01-poison-send.txt                         a2486bb33f  18
    at3-02-dlq-receive.txt                         a2486bb33f  18
    at3-03-consumer-logs.txt                       a2486bb33f  18
    at3-04-sibling-db.txt                          a2486bb33f  18
    at5-03-shapes.txt                              a2486bb33f  18
    at6-01-inventory.txt                           a2486bb33f  18
    at6-02-old-lane-rows.txt                       a2486bb33f  18
    at6-03-new-lane-rows.txt                       a2486bb33f  18
    at6-04a-diff-created.txt                       a2486bb33f  18
    at6-08-gateway-version-gate.txt                dfe23b9e83  29
    at6-08-residual-losses.txt                     ce9ad09c30  22
    at6-10-followup-ticket.txt                     a2486bb33f  18
    at6-11-veto-permalink.txt                      0665ecc545  18
    at6-12-image-provenance.txt                    a2486bb33f  18
    at6-13-parse-err.txt                           a2486bb33f  18
    at6-14-failed-redeliver.txt                    a2486bb33f  18
    at6-15-processed-with-failures.txt             a2486bb33f  18
