# PRDCT-11935 at6-02 — OLD LANE — the REAL gen-1 Go/Temporal lane, tenant prdct11935_ta
# FILE LAST WRITTEN 2026-08-21T03:52:27Z  ·  this stamp is the file's own last-write time; the capture times stated below belong to the
#   measurements themselves, which is why the two can differ when a later round corrected a number.
# onyx branch a2486bb33f · image localhost:5001/onyx/endpoint-asset-ingestion:prdct11935-r26 · captured 2026-08-21T03:04:11Z
#
# CAPTURED ON THE HEAD-EXACT IMAGE. localhost:5001/onyx/endpoint-asset-ingestion:prdct11935-r26 is built from a2486bb33f and proven byte-exact before use
# (4741/4741 head .py files, evidence/at6-12-image-provenance.txt).
#
# WHAT CHANGED THIS ROUND (gate G2). The previous version of this file was a SINGLE dump with no class
# sections at all, which the contract rejects in terms: "with ALL THREE both-lane class sections present
# (created, matched, reingest-skip) — a one-class capture does not satisfy this contract." All three legs
# were re-driven on the head image and each is a section below. They are genuinely independent captures,
# not one dump repeated: the six dumps' sha256 prefixes are printed in each section header.
#
# Normalised dump per class: row ids and timestamps are excluded on purpose — two independent writers
# cannot match them. Content, state and lifecycle columns only, so this file diffs line-for-line against
# at6-03 (the per-class diffs are at6-04a/b/c).

========================================================================================================
=== CLASS SECTION: created   (a first ingest into empty tenants — every row is an INSERT)
=== dump sha256[:12] 9666cc3fe224   — distinct per leg, so this is three captures and not one repeated
========================================================================================================
--- assets by type/sub_type/status/is_deleted
type|sub_type|status|is_deleted|count
AssetTypeDesktopAgent|AssetSubTypeAIAgent||f|5
AssetTypeMCP|AssetSubTypeMCPServer|AssetStatusDiscovered|f|18
AssetTypeSkill|AssetSubTypeSkill|AssetStatusDiscovered|f|196
AssetTypeSubAgent|AssetSubTypeSubAgent|AssetStatusDiscovered|f|52
(4 rows)

--- assets (name|type|sub_type|unique_identifier|status|is_deleted|version|host_type|surface|app_definition_id|awaiting_discovery)
name|type|sub_type|unique_identifier|status|is_deleted|coalesce|coalesce|coalesce|coalesce|awaiting_discovery
Claude (coder)|AssetTypeDesktopAgent|AssetSubTypeAIAgent|endpoint_claude::ec255301bd4407d309fbce94811384b0||f|||Desktop|endpoint_claude|f
Claude Code (coder)|AssetTypeDesktopAgent|AssetSubTypeAIAgent|endpoint_claude-code::ec255301bd4407d309fbce94811384b0||f|||Desktop|endpoint_claude-code|f
Codex (coder)|AssetTypeDesktopAgent|AssetSubTypeAIAgent|endpoint_codex::ec255301bd4407d309fbce94811384b0||f|||Desktop|endpoint_codex|f
Hermes Agent (coder)|AssetTypeDesktopAgent|AssetSubTypeAIAgent|endpoint_hermes-agent::ec255301bd4407d309fbce94811384b0||f|||Desktop|endpoint_hermes-agent|f
OpenClaw (coder)|AssetTypeDesktopAgent|AssetSubTypeAIAgent|endpoint_openclaw::ec255301bd4407d309fbce94811384b0||f|||Desktop|endpoint_openclaw|f
Context7 MCP Server|AssetTypeMCP|AssetSubTypeMCPServer|@upstash/context7-mcp::4.0.2|AssetStatusDiscovered|f|4.0.2|||@upstash/context7-mcp|f
Firefox DevTools MCP Server|AssetTypeMCP|AssetSubTypeMCPServer|firefox-devtools-mcp::0.9.2|AssetStatusDiscovered|f|0.9.2|||firefox-devtools-mcp|f
Gmail|AssetTypeMCP|AssetSubTypeMCPServer|gmailmcp.googleapis.com/mcp/v1::unknown|AssetStatusDiscovered|f|unknown|||gmailmcp.googleapis.com/mcp/v1|f
Google Calendar|AssetTypeMCP|AssetSubTypeMCPServer|calendarmcp.googleapis.com/mcp/v1::unknown|AssetStatusDiscovered|f|unknown|||calendarmcp.googleapis.com/mcp/v1|f
Google Drive|AssetTypeMCP|AssetSubTypeMCPServer|drivemcp.googleapis.com/mcp/v1::unknown|AssetStatusDiscovered|f|unknown|||drivemcp.googleapis.com/mcp/v1|f
